novel_name,novel_size,updatetime,novel_url,novel_info
从型月开始的欧陆王国风云(至第二卷⊙第176章),5.48 MB,2021-10-28,https://www.trxs.cc/tongren/5857.html,又名《从零开始的复兴罗马生活》《中世纪福音战士（物理）》《你妈劈的saber一家子你喜欢么？》《我的不列颠哪里有这么弱》《问题儿童都来自维京》《就算是沙漠三邪教有爱就没问题了吧》《我的罗马生活物语果然有问题》《夹在黑死病和维京人间的各种修罗场》《末日时在做什么？有没有空？可以来打维京人么？》《**维京人与不笑英国人》《不列颠的忧郁》《全维京狂潮》《及时旱地行舟，喜迎维京雅政》
女主们对反派的我满好感度？(1-558),4.73 MB,2021-10-28,https://www.trxs.cc/tongren/5300.html,在遵循师命退婚之时，安不然觉醒了前世的记忆。
开局绑架女主角，选择天命大反派(1-218),1.69 MB,2021-10-28,https://www.trxs.cc/tongren/6281.html,苏昊穿越都市，来到一个融合的小说世界，还成了其中一个反派男配，竟然开局就绑架了女主角。
米花侦探：开局让英理离婚(1-349),1.42 MB,2021-10-27,https://www.trxs.cc/tongren/6280.html,诸葛青带着签到系统，穿越柯南世界，却不幸流落荒岛。幸好遇到了同样流落荒岛的妃英理。
转生成琴又怎样！(1-817),5.22 MB,2021-10-27,https://www.trxs.cc/tongren/6279.html,加班到猝死的青年被蜘蛛子中的邪神‘D’捡走，赋予新的身体继续开始打工生涯。
许仙不是剑仙(全本),3.19 MB,2021-10-26,https://www.trxs.cc/tongren/6277.html,许仙，
情满四合院之食全酒美(1-266),1.26 MB,2021-10-26,https://www.trxs.cc/tongren/6276.html,穿越改革年代， 身负两界空间，第一件事就是去轧钢厂报道。
漫威：逢魔时王(1-500),2.99 MB,2021-10-23,https://www.trxs.cc/tongren/6265.html,别人穿越送系统，白辰穿越却是一条金腰带。
今已成神，加入万界聊天群(1-986),6.50 MB,2021-10-22,https://www.trxs.cc/tongren/6263.html,柳澈穿越至高位面，获得无限增强系统。
我，武当放牛娃，签到五十年！(全本),3.90 MB,2021-10-22,https://www.trxs.cc/tongren/5751.html,【叮，签到真武大殿，获得张三丰二百年功力】
贫僧！如来狂人，杀业斩罪(1-250),1.04 MB,2021-10-22,https://www.trxs.cc/tongren/6261.html,穿越到综武世界。
在柯学世界打卡的我加入了聊天群(1-153),1.57 MB,2021-10-21,https://www.trxs.cc/tongren/6259.html,白石一觉醒来，穿越到了柯学世界，还被工藤新一给踢进了医院里。
人在综漫，开局面基珈百璃(1-283),1.61 MB,2021-10-21,https://www.trxs.cc/tongren/6258.html,东皇玄穿越到异世界，以为是个普通世界，过过平静的日常就好。
请叫我馆主大人(全本),7.18 MB,2021-10-20,https://www.trxs.cc/tongren/6257.html,一次偶然的意外，沈夜重生到了二次元的未来世界。
人在港综漂到失联(1-493),4.72 MB,2021-10-20,https://www.trxs.cc/tongren/6256.html, 只是在电影院睡了一觉，没想到一睁眼就出现在了八九十年代的港岛警校毕业典礼上。
喜欢妃英理并没有问题(1-445),2.95 MB,2021-10-20,https://www.trxs.cc/tongren/6255.html,秦泽穿越了，来到了一个不一样柯南世界，成为了黑衣组织的最强新人，同时还有一个槽点很多的金手指。
玄幻：天道是围着我转的(1-643),2.42 MB,2021-10-17,https://www.trxs.cc/tongren/6242.html,实力、天赋、魅力、背景……
我，尼禄，斯巴达(全本),7.99 MB,2021-10-16,https://www.trxs.cc/tongren/6226.html,中指高高竖起。
斗罗天榜现世，我身份瞒不住了！(全本),1.43 MB,2021-10-15,https://www.trxs.cc/tongren/6223.html,重生斗罗大陆，本着不无敌不出去浪的想法，莫云一直苟着升级，默默变强。
我，混沌神�o，现传道诸天(1-299),1.85 MB,2021-10-15,https://www.trxs.cc/tongren/6222.html,陈轩携无限祭坛穿越成混沌魔神，却被意外拉入聊天群。
我，洛克斯船上的怪物天才！(1-329),2.25 MB,2021-10-15,https://www.trxs.cc/tongren/6221.html,穿越海贼世界的夏天，加入洛克斯海贼团，激活系统。
人在海贼：差点暴露我比罗杰还强(全本),1.24 MB,2021-10-14,https://www.trxs.cc/tongren/6220.html, 第一年没有暴露实力，奖励霸王色霸气！
魔女又有什么坏心思(1-354),4.25 MB,2021-10-14,https://www.trxs.cc/tongren/6219.html,“什么，你说我的客人都是邪神？绝对不可能！”面对基金会调查员的询问，沐奇奇摇头否认，“你们看，他们都是很善良的客人，每次来都是安静地喝咖啡，从不**。”
大秦：我！无双皇子，镇守长城十八年(1-297),2.14 MB,2021-10-14,https://www.trxs.cc/tongren/6218.html,“公子长缨，即刻前往边疆，镇守长城，若无召唤，终生不得返回咸阳！”
相亲后，我科学家的身份被曝光(全本),2.76 MB,2021-10-13,https://www.trxs.cc/tongren/6212.html,陈哲为了应付父母，去和女网红相亲，对方嫌弃他只是个搞科研的小职员！
无敌从一拳武道开始(1-534),3.72 MB,2021-10-09,https://www.trxs.cc/tongren/6202.html,【极道流，横推诸天流】
人在木叶，战场收尸十年(全本),1.60 MB,2021-10-09,https://www.trxs.cc/tongren/6201.html,丸山祈风一觉醒来成了木叶收尸人。
捡到恶魔的我，决定饲养她(1-1030),6.96 MB,2021-10-08,https://www.trxs.cc/tongren/6196.html,本来生活应该很平静的，然后遇到了个自称路西法的红眸少女，事情开始变得奇怪起来。
生活在二次元世界(全本),1.98 MB,2021-10-08,https://www.trxs.cc/tongren/6195.html,我是高坂穗乃宇，高坂穗乃果是我妹妹。
刚到西都：开局救下十八号(1-228),1.62 MB,2021-10-08,https://www.trxs.cc/tongren/6194.html,林恩意外穿越龙珠世界，激活神级选择系统。
美漫之开局一把斩魄刀(1-492),2.70 MB,2021-10-07,https://www.trxs.cc/tongren/6193.html,重铸死神荣光，我辈义不容辞！开局一把斩魄刀，地盘全靠自己抢！
人在超神，开局献祭系统(全本),1.34 MB,2021-10-07,https://www.trxs.cc/tongren/6192.html,人在超神宇宙，身带反派毁灭系统的主角却加入了聊天群。
港片：开局拒绝当卧底(1-514),2.32 MB,2021-10-07,https://www.trxs.cc/tongren/6191.html,李泽穿越到港片世界，绑定训练就变强系统。
全民海岛：我在巨龟背上建家园(1-395),2.90 MB,2021-10-07,https://www.trxs.cc/tongren/6190.html,平行世界资源枯竭，所有人成年后，都可以进入到一个拥有无尽资源的巨大海洋世界之中，成为一方海岛主。
人在奥特：开局贝利亚(1-536),3.32 MB,2021-10-02,https://www.trxs.cc/tongren/6179.html,路川意外来到捷德奥特曼世界。获得了神级签到系统。开局签到极恶贝利亚。
我的替身是灭霸(1-530),2.66 MB,2021-10-02,https://www.trxs.cc/tongren/6178.html,“二次元真的好危险！”
卷刃长剑与某失恋村民(全本),13.88 MB,2021-10-02,https://www.trxs.cc/tongren/6177.html,一天，他抱起了卷刃的剑。之后，他牵起了小女孩的手。再后来，牵着小女孩手的他被一个少女拉着手跑。
我真不想交女朋友了(1-第五卷第77章),6.03 MB,2021-10-01,https://www.trxs.cc/tongren/6176.html,“您好，请问您有谈过恋爱吗？”
灵气复苏：成为直男的我好运自来(1-516),2.60 MB,2021-10-01,https://www.trxs.cc/tongren/6175.html,因为她一句“我喜欢的是那种顶天立地的汉子，那种能够在荒野中与妖兽尽情厮杀的铮铮铁汉”，
我严重怀疑我的迦勒底有问题(至第四特异点・⑥),4.85 MB,2021-09-28,https://www.trxs.cc/tongren/6162.html,“怎么样？！藤丸立香！你的从者的攻击对我而言不过只是挠痒痒而已！你们在我的面前就只有被当成沙包挨打的份！”
我在原神玩崩三(全本),4.07 MB,2021-09-28,https://www.trxs.cc/tongren/5243.html,拥有崩坏3武器库的江恒，在蒙德开了一家不起眼的小店。
女人哪有种田好玩(全本),3.64 MB,2021-09-28,https://www.trxs.cc/tongren/5904.html,穿越剑与魔法的异界(reO)，掉到雪原上，获得类MC的种田金手指。
万界登录之唯一先知(1-774),3.45 MB,2021-09-28,https://www.trxs.cc/tongren/6161.html,警告警告：地球“新世纪”，进入万界登录时代。
月世界女友找上门(1-267),3.06 MB,2021-09-24,https://www.trxs.cc/tongren/6151.html,  游戏里的女友都变成真的了。
武侠：紫禁之巅，开局陆地神仙(1-449),1.86 MB,2021-09-24,https://www.trxs.cc/tongren/6150.html,月圆之夜紫禁之巅，一剑西来，天外飞仙。
我，二次元讨债人(1-1143),7.41 MB,2021-09-24,https://www.trxs.cc/tongren/4132.html,欠债还钱天经地义，但是偏偏有些人觉得欠钱就是大爷。
都市：我成了富二代反派(1-738),3.24 MB,2021-09-22,https://www.trxs.cc/tongren/6143.html,王浩然穿越到一个由都市爽文小说构建的平行世界中，成为一名反派富二代。
撩了我，还想跑？(1-9卷第2章),1.86 MB,2021-09-21,https://www.trxs.cc/tongren/6138.html,乔亚带着一个游戏外挂穿越到galgame的世界，成为了一个王国大公的儿子。通关游戏副本，获得奖励。
带着系统加入聊天群(1-391),2.44 MB,2021-09-21,https://www.trxs.cc/tongren/6137.html,李桓穿越平行世界七年，终于觉醒了万物进化系统。
我，斩魔少女，无敌！(全本),3.70 MB,2021-09-16,https://www.trxs.cc/tongren/5670.html,王朝日暮，天下纷乱。妖魔横行，生民多艰。
一开始我只想当个演员(全本),4.29 MB,2021-09-14,https://www.trxs.cc/tongren/6102.html,苏晓穿越成了职业战队替补上单，意外激活奇葩系统，在比赛中死亡竟然有金钱奖励，苏晓：“不好意思系统，我能送到你破产。”
人在学战都市，开局满级鬼剑术(1-308),1.90 MB,2021-09-14,https://www.trxs.cc/tongren/6101.html,一觉醒来，叶悠发现自己穿越到了学战都市的世界。
我在综漫世界的灵异日常(1-526),2.85 MB,2021-09-11,https://www.trxs.cc/tongren/4454.html,来自灵气复苏三十年后的修仙者穿越到了日本千叶市的初三毕业生千叶渚身上，父母尚且在世，没车没房没妹妹，只是成为了一个高级公寓的包租公，只不过公寓里的住户有些奇怪，左边住着天使，右边住着恶魔和魔女，楼上有着两条龙，一个中二病，还住着一个叫做小明的长生种，老婆是只猴子。
系统只让我收女弟子啊(全本),1.11 MB,2021-09-10,https://www.trxs.cc/tongren/6088.html,杜玄来到这片天地已经三百余年了，依靠无上天赋修炼，就差一步便是一世之圣，天地无双。
综漫：新手礼包，流星一条(1-424),2.51 MB,2021-09-10,https://www.trxs.cc/tongren/6090.html,“我知道你不是人，但没想到你是真的苟！”
